날짜,평균미세먼지
2019-01-01,37.64
2019-01-02,34.4
2019-01-03,39.2
2019-01-04,59.88
2019-01-05,63.32
2019-01-06,49.0
2019-01-07,56.76
2019-01-08,40.64
2019-01-09,51.36
2019-01-10,57.6
2019-01-11,80.16
2019-01-12,95.6
2019-01-13,115.08
2019-01-14,166.36
2019-01-15,134.36
2019-01-16,45.64
2019-01-17,43.12
2019-01-18,61.4
2019-01-19,96.12
2019-01-20,65.8
2019-01-21,45.04
2019-01-22,67.16
2019-01-23,73.72
2019-01-24,41.04
2019-01-25,50.84
2019-01-26,42.64
2019-01-27,36.08
2019-01-28,85.48
2019-01-29,67.32
2019-01-30,62.52
2019-01-31,71.8
2019-02-01,38.8
2019-02-02,58.68
2019-02-03,38.88
2019-02-04,72.32
2019-02-05,85.36
2019-02-06,95.96
2019-02-07,61.08
2019-02-08,31.68
2019-02-09,35.8
2019-02-10,41.8
2019-02-11,38.8
2019-02-12,58.52
2019-02-13,38.68
2019-02-14,52.72
2019-02-15,39.28
2019-02-16,59.16
2019-02-17,35.52
2019-02-18,42.04
2019-02-19,42.92
2019-02-20,62.28
2019-02-21,76.92
2019-02-22,72.76
2019-02-23,55.6
2019-02-24,65.04
2019-02-25,81.56
2019-02-26,53.0
2019-02-27,70.68
2019-02-28,89.56
2019-03-01,119.8
2019-03-02,121.44
2019-03-03,110.28
2019-03-04,168.84
2019-03-05,186.12
2019-03-06,140.6
2019-03-07,56.96
2019-03-08,47.32
2019-03-09,44.96
2019-03-10,51.8
2019-03-11,70.84
2019-03-12,83.08
2019-03-13,41.8
2019-03-14,42.24
2019-03-15,56.0
2019-03-16,41.0
2019-03-17,37.24
2019-03-18,38.76
2019-03-19,66.68
2019-03-20,93.6
2019-03-21,34.2
2019-03-22,36.08
2019-03-23,23.8
2019-03-24,26.72
2019-03-25,46.64
2019-03-26,58.48
2019-03-27,93.84
2019-03-28,80.84
2019-03-29,38.92
2019-03-30,34.8
2019-03-31,42.36
2019-04-01,24.12
2019-04-02,31.72
2019-04-03,38.4
2019-04-04,35.24
2019-04-05,78.28
2019-04-06,58.64
2019-04-07,36.64
2019-04-08,36.8
2019-04-09,24.88
2019-04-10,7.04
2019-04-11,27.92
2019-04-12,50.72
2019-04-13,46.44
2019-04-14,38.56
2019-04-15,51.84
2019-04-16,47.08
2019-04-17,40.28
2019-04-18,40.92
2019-04-19,43.64
2019-04-20,46.6
2019-04-21,32.92
2019-04-22,97.4
2019-04-23,90.52
2019-04-24,56.68
2019-04-25,37.56
2019-04-26,9.36
2019-04-27,17.48
2019-04-28,18.12
2019-04-29,24.64
2019-04-30,34.08
2019-05-01,62.08
2019-05-02,53.2
2019-05-03,63.04
2019-05-04,91.4
2019-05-05,66.52
2019-05-06,33.6
2019-05-07,46.56
2019-05-08,53.56
2019-05-09,47.28
2019-05-10,60.88
2019-05-11,65.8
2019-05-12,56.36
2019-05-13,55.44
2019-05-14,44.36
2019-05-15,68.16
2019-05-16,66.88
2019-05-17,55.48
2019-05-18,28.68
2019-05-19,14.52
2019-05-20,37.96
2019-05-21,53.32
2019-05-22,56.24
2019-05-23,72.04
2019-05-24,86.08
2019-05-25,78.64
2019-05-26,38.84
2019-05-27,22.72
2019-05-28,22.4
2019-05-29,47.92
2019-05-30,45.16
2019-05-31,20.4
2019-06-01,33.84
2019-06-02,36.08
2019-06-03,38.4
2019-06-04,28.72
2019-06-05,53.8
2019-06-06,59.44
2019-06-07,12.56
2019-06-08,25.28
2019-06-09,36.92
2019-06-10,10.0
2019-06-11,12.6
2019-06-12,30.16
2019-06-13,30.36
